家數, 衛生所名稱, 郵遞區號, 單位地址, 電話
37, 花蓮縣花蓮市衛生所, 970, 花蓮縣花蓮市新興路200號, 038-230232
38, 花蓮縣鳳林鎮衛生所, 975, 花蓮縣鳳林鎮公正街8之1號, 038-761116
39, 花蓮縣玉里鎮衛生所, 981, 花蓮縣玉里鎮中正路152號, 038-882046
40, 花蓮縣新城鄉衛生所, 971, 花蓮縣新城鄉北埔路160號, 038-266781
41, 花蓮縣吉安鄉衛生所, 973, 花蓮縣吉安鄉吉安路二段132號, 038-521113
42, 花蓮縣壽豐鄉衛生所, 974, 花蓮縣壽豐鄉公園路28巷10號, 038-652101
43, 花蓮縣光復鄉衛生所, 976, 花蓮縣光復鄉中學街158號, 038-701114
44, 花蓮縣瑞穗鄉衛生所, 978, 花蓮縣瑞穗鄉民生街75號, 038-872045
45, 金門縣金寧鄉衛生所, 892, 金門縣金寧鄉盤山村仁愛新村2之1號, 082-325735
46, 金門縣烈嶼鄉衛生所, 894, 金門縣烈嶼鄉西口村西方6-5號, 082-362078
47, 金門縣金沙鎮衛生所, 890, 金門縣金沙鎮汶沙里三民路16號, 082-352854
48, 金門縣金城鎮衛生所, 893, 金門縣金城鎮民權路147號, 082-325059
49, 金門縣金湖鎮衛生所, 891, 金門縣金湖鎮正義里成功7-1號, 082-336662
50, 連江縣南竿鄉衛生所, , 馬祖南竿鄉復興村217號(縣立醫院), 083-655592
51, 連江縣北竿鄉衛生所, 210, 210連江縣北竿鄉塘岐村25號, 0836-55592
52, 連江縣東莒鄉衛生所, 211, 馬祖莒光鄉大坪村30-1號, 0836-89005
53, 連江縣西莒鄉衛生所, 211, 馬祖莒光鄉青帆村14-1號, 0836-89122
54, 連江縣東引鄉衛生所, 212, 連江縣東引鄉中柳村123號, 0836-77206
55, 高雄市田寮區衛生所, 823, 高雄市田寮區崗北路32號, 07-6361746
56, 高雄市永安區衛生所, 828, 高雄市永安區永安路26號, 07-6912015
57, 高雄市桃源區衛生所, 848, 高雄市桃源區桃源里南進巷188之1號, 07-6861126
58, 高雄市那瑪夏區衛生所, 849, 高雄市那瑪夏區瑪雅里六鄰平和巷252號, 07-6701142
59, 高雄市茂林區衛生所, 851, 高雄市茂林區茂林里8-4號, 07-6801046
60, 高雄市美濃區衛生所, 84341, 高雄市美濃區合和里美中路246號, 07-6812064
61, 高雄市六龜區衛生所, 84441, 高雄市六龜區六龜里民治路16號, 07-6891244
62, 高雄市梓官區衛生所, 82642, 高雄市梓官區梓信里公館路456號, 07-6177331
63, 高雄市旗山區衛生所, 84207, 高雄市旗山區中正路197號, 07-6612054
64, 高雄市仁武區衛生所, 81451, 高雄市仁武區地政街23號, 07-3711434
65, 高雄市茄萣區衛生所, 85243, 高雄市茄萣區吉定里濱海路二段1號, 07-6988850
66, 高雄市岡山區衛生所, 82041, 高雄市岡山區公園路50號, 07-6212015
67, 高雄市湖內區衛生所, 82942, 高雄市湖內區湖中路203號, 07-6993009
68, 高雄市大寮區衛生所, 83154, 高雄市大寮區進學路129巷2-1號, 07-7811965
69, 高雄市大樹區衛生所, 840, 高雄市大樹區龍目路158號, 07-6512935
70, 高雄市路竹區衛生所, 82150, 高雄市路竹區國昌路86巷22號, 07-6962449
71, 高雄市阿蓮區衛生所, 82241, 高雄市阿蓮區民生路94-1號, 07-6317141
72, 高雄市彌陀區衛生所, 827, 高雄市彌陀區中華路1巷5弄1號, 07-6175307
73, 高雄市林園區衛生所, 832, 高雄市林園區林園北路186號, 07-6412404
74, 高雄市鳳山區衛生所, 830, 高雄市鳳山區經武路34巷2號, 07-7430437
75, 高雄市杉林區衛生所, 846, 高雄市杉林區山仙路93巷2號, 07-6771319
76, 高雄市甲仙區衛生所, 847, 高雄市甲仙區和安里中山路52號, 07-6752433
77, 高雄市鳥松區衛生所, 83345, 高雄市鳥松區文前路文北巷1弄4號, 07-7316404
78, 高雄市燕巢區衛生所, 824, 高雄市燕巢區中興路2號, 07-6160292
79, 高雄市橋頭區衛生所, 825, 高雄市橋頭區隆豐路5號, 07-6113516
80, 高雄市內門區衛生所, 845, 高雄市內門區觀亭里中埔頭20號, 07-6673556
81, 臺東縣綠島鄉衛生所, 951, 台東縣綠島鄉中寮村1-1號, 089-672511
82, 臺東縣東河鄉衛生所, 959, 臺東縣東河鄉東河村南東河路10鄰300號, 089-896289
83, 臺東縣大武鄉衛生所, 965, 台東縣大武鄉大武村濱海路100號, 089-791143
84, 臺東縣蘭嶼鄉衛生所, 952, 台東縣蘭嶼鄉紅頭村36號, 089-731619
85, 臺東縣延平鄉衛生所, 953, 台東縣延平鄉桃源村昇平路11號, 089-551040
86, 臺東縣海端鄉衛生所, 957, 台東縣海端鄉海端村3鄰29號, 089-931391
87, 臺東縣金峰鄉衛生所, 964, 台東縣金峰鄉賓茂村1鄰14號, 089-751200
88, 臺東縣達仁鄉衛生所, 966, 台東縣達仁鄉安朔村復興路122號, 089-702209
89, 臺東縣台東市衛生所, 950, 臺東市大同路51號, 089-238035
90, 臺東縣卑南鄉衛生所, 954, 臺東縣卑南鄉太平村和平路132號, 089-382042
91, 臺東縣鹿野鄉衛生所, 955, 臺東縣鹿野鄉中華路1段418號, 089-551074
92, 臺東縣關山鎮衛生所, 956, 臺東縣關山鎮中華路78號, 089-811042
93, 臺東縣池上鄉衛生所, 958, 臺東縣池上鄉中山路104號, 089-862171
94, 臺東縣成功鎮衛生所, 961, 臺東縣成功鎮中山東路64號, 089-851419
95, 臺東縣長濱鄉衛生所, 962, 臺東縣長濱鄉長濱村46號, 089-831022
96, 臺東縣太麻里鄉衛生所, 963, 臺東縣太麻里鄉泰和村北橋70號, 089-781220
97, 澎湖縣望安鄉衛生所, 882, 澎湖縣望安鄉西安村36-7號, 06-9991036
98, 澎湖縣望安鄉將軍衛生所, 882, 望安郷將軍村1-3號, 06-9902103
99, 澎湖縣七美鄉衛生所, 883, 澎湖縣七美鄉中和村埔內54號, 06-9971005
100, 澎湖縣白沙鄉鳥嶼衛生所, 884, 澎湖縣白沙鄉鳥嶼村漁港新村2號, 06-9916092
101, 澎湖縣白沙鄉吉貝衛生所, 884, 白沙郷吉貝村8之13號, 06-9911097
102, 澎湖縣白沙鄉衛生所, 884, 白沙郷赤崁村359號, 06-9931044
103, 澎湖縣馬公市第三衛生所, 880, 馬公市西文里118之2號, 06-9211723
104, 澎湖縣馬公市第一衛生所, 880, 澎湖縣馬公市樹德路36號, 06-9273958
105, 澎湖縣馬公市第二衛生所, 880, 澎湖縣馬公市鎖港240號, 06-9951458
106, 澎湖縣湖西鄉衛生所, 885, 澎湖縣湖西鄉湖西村151之1號, 06-9921271
107, 澎湖縣西嶼鄉衛生所, 881, 澎湖縣西嶼鄉池東村222號, 06-9981115
108, 新北市平溪區衛生所, 226, 新北市平溪區公園街17號1樓, 02-24951015
109, 新北市貢寮區衛生所, 228, 新北市貢寮區仁愛路128號, 02-24941070
110, 新北市坪林區衛生所, 232, 新北市坪林區坪林街104號, 02-26656272
111, 新北市烏來區衛生所, 233, 新北市烏來區新烏路五段109號, 02-26617200
112, 新北市樹林區衛生所, 238, 新北市樹林區樹新路40-7號, 02-26812134
113, 新北市淡水區衛生所, 251, 新北市淡水區中山路158號, 02-26215620
114, 新北市三峽區衛生所, 237, 新北市三峽區光明路71號3樓, 02-26711592
115, 新北市林口區衛生所, 244, 新北市林口區忠孝二路55號1樓, 02-26011005
116, 新北市鶯歌區衛生所, 239, 新北市鶯歌區文化路389號, 02-26702304
117, 新北市五股區衛生所, 248, 新北市五股區新城三路11號, 02-22917717
118, 新北市泰山區衛生所, 243, 新北市泰山區全興路212號3樓, 02-22962858
119, 新北市瑞芳區衛生所, 224, 新北市瑞芳區明燈路3段1號, 02-24972132
120, 新北市八里區衛生所, 249, 新北市八里區舊城里舊城路16號, 02-26102137
121, 新北市深坑區衛生所, 222, 新北市深坑區深坑街165號, 02-26621567
122, 新北市三芝區衛生所, 252, 新北市三芝區中山路1段12號, 02-26362007
123, 新北市萬里區衛生所, 207, 新北市萬里區瑪鋉路157號, 02-24921117
124, 新北市金山區衛生所, 208, 新北市金山區大同里民生路59號, 02-24982778
125, 新北市石門區衛生所, 253, 新北市石門區石門里中山路28之1號, 02-26381007
126, 新北市雙溪區衛生所, 227, 新北市雙溪區新基里新基南街18號, 02-24931210
127, 新北市石碇區衛生所, 223, 新北市石碇區潭邊里碇坪路1段82號, 02-26631325
128, 臺南市中西區衛生所, 700, 台南市中西區淺草里環河街94號, 06-2252405
129, 臺南市東區衛生所, 701, 台南市東區龍山里林森路一段418號, 06-2673613
130, 臺南市南區衛生所, 702, 台南市南區南都里南和路6號, 06-2618578
131, 臺南市北區衛生所, 704, 台南市北區西華街50號, 06-2252404
132, 臺南市安平區衛生所, 708, 台南市安平區育平路310號, 06-2271560
133, 臺南市安南區衛生所, 709, 台南市安南區仁安路70號, 06-2567406
134, 臺南市七股區衛生所, 724, 臺南市七股區大埕里379號, 06-7872277
135, 臺南市下營區衛生所, 735, 臺南市下營區中山路2段137號, 06-6892149
136, 臺南市大內區衛生所, 742, 臺南市大內區大內里2號, 06-5761044
137, 臺南市山上區衛生所, 743, 臺南市山上區山上里35之2號, 06-5781013
138, 臺南市仁德區衛生所, 717, 臺南市仁德區中山路606巷2號, 06-2704153
139, 臺南市六甲區衛生所, 734, 臺南市六甲區中華路110號, 06-6982013
140, 臺南市北門區衛生所, 727, 臺南市北門區北門里港北50號, 06-7862043
141, 臺南市左鎮區衛生所, 713, 臺南市左鎮區中正里172之15號, 06-5731114
142, 臺南市永康區衛生所, 710, 臺南市永康區永康里文化路51號, 06-2326507
143, 臺南市玉井區衛生所, 714, 臺南市玉井區中正路5號, 06-5742275
144, 臺南市白河區衛生所, 732, 臺南市白河區國光路5號, 06-6852014
145, 臺南市安定區衛生所, 745, 臺南市安定區安定里59之1號, 06-5922022
146, 臺南市西港區衛生所, 723, 臺南市西港區西港里中山路368號, 06-7952338
147, 臺南市佳里區衛生所, 722, 臺南市佳里區進學路159號, 06-7230221
148, 臺南市官田區衛生所, 720, 臺南市官田區中山路1段128號, 06-5791493
149, 臺南市東山區衛生所, 733, 臺南市東山區東山里15鄰236號, 06-6852618
150, 臺南市南化區衛生所, 716, 臺南市南化區南化里226之1號, 06-5771139
151, 臺南市後壁區衛生所, 731, 臺南市後壁區後壁里3號, 06-6872624
152, 臺南市柳營區衛生所, 736, 臺南市柳營區士林里54之5號, 06-6220464
153, 臺南市將軍區衛生所, 725, 臺南市將軍區忠嘉里忠興185-6號, 06-7942007
154, 臺南市麻豆區衛生所, 721, 臺南市麻豆區興國路11之1號, 06-5722215
155, 臺南市善化區衛生所, 741, 臺南市善化區中山路200號, 06-5837035
156, 臺南市新化區衛生所, 712, 臺南市新化區健康路143號, 06-5982025
157, 臺南市新市區衛生所, 744, 臺南市新市區中興街12號, 06-5992504
158, 臺南市新營區衛生所, 730, 臺南市新營區三民路72號, 06-6890372
159, 臺南市楠西區衛生所, 715, 臺南市楠西區楠西里中正路226號, 06-5751006
160, 臺南市學甲區衛生所, 726, 臺南市學甲區建國路38號, 06-7833359
161, 臺南市龍崎區衛生所, 719, 臺南市龍崎區崎頂里新市子158號, 06-5941397
162, 臺南市歸仁區衛生所, 711, 臺南市歸仁區中正北路1段1號, 06-2304030
163, 臺南市關廟區衛生所, 718, 臺南市關廟區山西里中正路1000號, 06-5952395
164, 臺南市鹽水區衛生所, 737, 臺南市鹽水區月港里武廟路1號, 06-6521041
165, 臺中市和平區梨山衛生所, 424, 臺中市和平區梨山里中正路６８號, 04-25989540
166, 臺中市東勢區衛生所, 423, 臺中市東勢區豐勢路490號, 04-22834121
167, 臺中市大甲區衛生所, 437, 臺中市大甲區德興路81號, 04-26872153
168, 臺中市清水區衛生所, 436, 臺中市清水區中山路92號, 04-26222639
169, 臺中市沙鹿區衛生所, 433, 臺中市沙鹿區文昌街20號, 04-26625040
170, 臺中市梧棲區衛生所, 435, 臺中市梧棲區雲集街70巷3號, 04-26562809
171, 臺中市后里區衛生所, 421, 臺中市后里區公安路86號, 04-25562048
172, 臺中市潭子區衛生所, 427, 臺中市潭子區中山路2段241巷5號, 04-25324643
173, 臺中市大雅區衛生所, 428, 臺中市大雅區中清東路232號, 04-25661091
174, 臺中市新社區衛生所, 426, 臺中市新社區新社里興社街4段1號, 04-25811704
175, 臺中市石岡區衛生所, 422, 臺中市石岡區石岡街6號, 04-25721887
176, 臺中市外埔區衛生所, 438, 臺中市外埔區大同里甲后路三段1062號, 04-26833208
177, 臺中市大安區衛生所, 439, 臺中市大安區中山南路333號, 04-26713681
178, 臺中市大肚區衛生所, 432, 臺中市大肚區榮華街1號, 04-26992111
179, 臺中市龍井區衛生所, 434, 臺中市龍井區沙田路4段243號, 04-26352228
180, 臺中市霧峰區衛生所, 413, 臺中市霧峰區民生路1-9號, 04-23393022
181, 臺中市太平區衛生所, 411, 臺中市太平區中山路1段213之1號, 04-22752831
182, 臺中市和平區衛生所, 424, 臺中市和平區東關路三段132號, 04-25942781
183, 臺中市中西區衛生所, 403, 臺中市西區民權路105號, 04-22222832
184, 臺中市東區衛生所, 401, 臺中市東區信義街142號, 04-22834121
185, 臺中市北區衛生所, 404, 臺中市北區永興街301號4樓, 04-22359186
186, 臺中市北屯區軍功衛生所, 406, 臺中市北屯區軍功路2段16號, 04-22392638
187, 臺中市北屯區四民衛生所, 406, 臺中市北屯區后庄路1062號, 04-22421195
188, 臺中市南屯區衛生所, 408, 臺中市南屯區向心南路811號, 04-23827640
189, 臺中市大里區衛生所, 412, 臺中市大里區大衛路82號, 04-24061500
190, 臺中市南區衛生所, 402, 臺中市南區工學路72號2樓, 04-22629735
191, 臺中市烏日區衛生所, 414, 臺中市烏日區長樂街136號, 04-23381027
192, 臺中市西屯區衛生所, 407, 臺中市西屯區西屯路2段299號, 04-27023649
193, 臺中市神岡區衛生所, 429, 臺中市神岡區神岡路2號, 04-25622793
194, 臺中市豐原區衛生所, 420, 臺中市豐原區中興路136號, 04-25261170
195, 基隆市七堵區衛生所, 206, 基隆市七堵區光明路21號1樓-1, 02-24562008
196, 基隆市中山區衛生所, 203, 基隆市中山區中山二路15號（暫時延伸服務於中山里民活動中心2樓-基隆市中山區中山一路219號2樓）, 02-24276345
197, 基隆市中正區衛生所, 203, 基隆市中正區中正路236號2樓, 02-24621632
198, 基隆市仁愛區衛生所, 200, 基隆市仁愛區光一路26號, 02-24311592
199, 基隆市安樂區衛生所, 204, 基隆市安樂區安樂路2段164號1樓前棟, 02-24318061
200, 基隆市信義區衛生所, 201, 基隆市信義區信一路69號(109.06.30前延伸服務於基隆市立醫院-基隆市信義區東信路282號), 02-24441633
201, 基隆市暖暖區衛生所, 205, 基隆市暖暖街281巷98號(暫時延伸服務於暖西里民活動中心2樓-基隆市暖暖區東勢街26巷69號), 02-24572630
202, 苗栗縣南庄鄉衛生所, 353, 苗栗縣南庄鄉東村大同路17號, 037-822024
203, 苗栗縣獅潭鄉衛生所, 35441, 苗栗縣獅潭鄉新店村130-6號, 037-931309
204, 苗栗縣造橋鄉衛生所, 361, 苗栗縣造橋鄉造橋村14鄰8-2號, 037-542755
205, 苗栗縣泰安鄉衛生所, 365, 苗栗縣泰安鄉清安村二鄰72號, 037-941054
206, 苗栗縣苗栗市衛生所, 360, 苗栗縣苗栗市上苗里建民街28號, 037-277129
207, 苗栗縣苑裡鎮衛生所, 358, 苗栗縣苑裡鎮客庄里公民街16號, 037-869595
208, 苗栗縣通霄鎮衛生所, 357, 苗栗縣通霄鎮中正路9-6號, 037-752408
209, 苗栗縣竹南鎮衛生所, 350, 苗栗縣竹南鎮大營路209號, 037-470152
210, 苗栗縣頭份市衛生所, 351, 苗栗縣頭份市頭份里顯會路72號, 037-663049
211, 苗栗縣後龍鎮衛生所, 356, 苗栗縣後龍鎮大庄里光華路375號, 037-722008
212, 苗栗縣卓蘭鎮衛生所, 369, 苗栗縣卓蘭鎮中正路142號, 045-892027
213, 苗栗縣大湖鄉衛生所, 364, 苗栗縣大湖鄉中原路87號, 037-991034
214, 苗栗縣公館鄉衛生所, 363, 苗栗縣公館鄉館中村大同路75號, 037-224732
215, 苗栗縣銅鑼鄉衛生所, 366, 苗栗縣銅鑼鄉銅鑼村新興路81號, 037-981006
216, 苗栗縣頭屋鄉衛生所, 352, 苗栗縣頭屋鄉頭屋村13鄰中山街54號, 037-253534
217, 苗栗縣三義鄉衛生所, 367, 苗栗縣三義鄉復興路45號, 037-872014
218, 苗栗縣西湖鄉衛生所, 368, 苗栗縣西湖鄉龍洞村1鄰龍洞16號, 037-921211
219, 苗栗縣三灣鄉衛生所, 352, 苗栗縣三灣鄉親民路17號, 037-831140
220, 嘉義縣大埔鄉衛生所, 607, 嘉義縣大埔鄉大埔村53-1號, 05-2521214
221, 嘉義縣番路鄉衛生所, 602, 嘉義縣番路鄉下坑村2鄰菜公店60號, 05-2591148
222, 嘉義縣阿里山鄉衛生所, 605, 嘉義縣阿里山鄉樂野村3鄰97-2號, 05-2511007
223, 嘉義縣東石鄉衛生所, 614, 嘉義縣東石鄉東石村3之7號, 05-3732340
224, 嘉義縣六腳鄉衛生所, 615, 嘉義縣六腳鄉蒜頭村15鄰蒜頭73-1號, 05-3802016
225, 嘉義縣大林鎮衛生所, 622, 嘉義縣大林鎮平林里中山路252號, 05-2641262
226, 嘉義縣中埔鄉衛生所, 606, 嘉義縣中埔鄉中埔村中埔130號之1, 05-2531008
227, 嘉義縣太保市衛生所, 612, 嘉義縣太保市後潭里443號, 05-3711273
228, 嘉義縣水上鄉衛生所, 608, 嘉義縣水上鄉水上村正義路145號, 05-2682059
229, 嘉義縣布袋鎮衛生所, 625, 嘉義縣布袋鎮新厝里21號, 05-3472032
230, 嘉義縣民雄鄉衛生所, 621, 嘉義縣民雄鄉中樂村文化路7之2號, 05-2262018
231, 嘉義縣朴子市衛生所, 613, 嘉義縣朴子市安福里光復路40號, 05-3792037
232, 嘉義縣竹崎鄉衛生所, 604, 嘉義縣竹崎鄉竹崎村文化路19-1號, 05-2611264
233, 嘉義縣梅山鄉衛生所, 603, 嘉義縣梅山鄉華山路18號, 05-2621049
234, 嘉義縣鹿草鄉衛生所, 611, 嘉義縣鹿草鄉西井村12鄰長壽路226巷2號, 05-3752080
235, 嘉義縣新港鄉衛生所, 616, 嘉義縣新港鄉宮前村中山路167號, 05-3742025
236, 嘉義縣溪口鄉衛生所, 623, 嘉義縣溪口鄉溪北村二鄰中山路1號, 05-2691046
237, 嘉義縣義竹鄉衛生所, 624, 嘉義縣義竹鄉仁里村義竹422-1號, 05-3412032
238, 桃園市復興區衛生所, 336, 桃園市復興區中正路25號, 03-3821452
239, 桃園市新屋區衛生所, 327, 桃園市新屋區新屋里中山路239號, 03-4772018
240, 桃園市觀音區衛生所, 328, 桃園市觀音區觀新路58號, 03-4732031
241, 彰化縣二水鄉衛生所, 530, 彰化縣二水鄉二水村過圳路19號, 04-8791077
242, 彰化縣二林鎮衛生所, 526, 彰化縣二林鎮斗苑路4段689號, 04-8960035
243, 彰化縣大村鄉衛生所, 515, 彰化縣大村鄉中正西路340號, 04-8520513
244, 彰化縣大城鄉衛生所, 527, 彰化縣大城鄉中平路126號, 04-8941323
245, 彰化縣北斗鎮衛生所, 521, 彰化縣北斗鎮光復里地政路406巷17號, 04-8882059
246, 彰化縣永靖鄉衛生所, 512, 彰化縣永靖鄉永西村西興路91號, 04-8221057
247, 彰化縣田中鎮衛生所, 520, 彰化縣田中鎮斗中路一段222號, 04-8742053
248, 彰化縣田尾鄉衛生所, 522, 彰化縣田尾鄉饒平村光復路2段608號, 04-8832145
249, 彰化縣竹塘鄉衛生所, 525, 彰化縣竹塘鄉竹塘村竹林路1段304號, 04-8972009
250, 彰化縣伸港鄉衛生所, 509, 彰化縣伸港鄉大同村中興路2段197號, 04-7060335
251, 彰化縣秀水鄉衛生所, 504, 彰化縣秀水鄉安東村中山路288號, 04-7693001
252, 彰化縣和美鎮衛生所, 508, 彰化縣和美鎮彰美路5段319號, 04-7062455
253, 彰化縣社頭鄉衛生所, 511, 彰化縣社頭鄉員集路2段409號, 04-8732038
254, 彰化縣芳苑鄉衛生所, 528, 彰化縣芳苑鄉芳苑村斗苑路芳苑段194巷48號, 04-8983134
255, 彰化縣花壇鄉衛生所, 503, 彰化縣花壇鄉長沙村中正路11號, 04-7862035
256, 彰化縣芬園鄉衛生所, 502, 彰化縣芬園鄉社口村公園1街11號, 04-92522904
257, 彰化縣員林鎮衛生所, 510, 彰化縣員林市博愛路229號, 04-7060230
258, 彰化縣埔心鄉衛生所, 513, 彰化縣埔心鄉義民村員鹿路2段340號, 04-8294611
259, 彰化縣埔鹽鄉衛生所, 516, 彰化縣埔鹽鄉好修村員鹿路2段58號, 04-8654814
260, 彰化縣埤頭鄉衛生所, 523, 彰化縣埤頭鄉合興村健安街119號, 04-8922445
261, 彰化縣鹿港鎮衛生所, 505, 彰化縣鹿港鎮復興路423號, 04-7772309
262, 彰化縣溪州鄉衛生所, 524, 彰化縣溪州鄉瓦厝村莒光路111號, 04-8895023
263, 彰化縣溪湖鎮衛生所, 514, 彰化縣溪湖鎮湖東里青雅路36號, 04-8815112
264, 彰化縣彰化市南西北區衛生所, 500, 彰化縣彰化市旭光路166號, 04-7282141
265, 彰化縣彰化市東區衛生所, 500, 彰化縣彰化市彰南路2段346巷31弄26號, 04-7372348
266, 彰化縣福興鄉衛生所, 506, 彰化縣福興鄉福興村福興路51巷2號, 04-7772371
267, 彰化縣線西鄉衛生所, 507, 彰化縣線西鄉中央路2段25號, 04-7585201
268, 屏東縣九如鄉衛生所, 904, 屏東縣九如鄉九如路二段247號, 08-7392006
269, 屏東縣三地門鄉衛生所, 901, 屏東縣三地門鄉三地村行政街4號, 08-7991284
270, 屏東縣內埔鄉衛生所, 912, 屏東縣內埔鄉內埔村中興路191號, 08-7792414
271, 屏東縣竹田鄉衛生所, 911, 屏東縣竹田鄉竹田村中山路25號, 08-7712434
272, 屏東縣牡丹鄉衛生所, 945, 屏東縣牡丹鄉石門村19號, 08-8831013
273, 屏東縣車城鄉衛生所, 944, 屏東縣車城鄉福安村福安路２之30號, 08-8824300
274, 屏東縣里港鄉衛生所, 905, 屏東縣里港鄉大平村中山路103-1號, 08-7751711
275, 屏東縣佳冬鄉衛生所, 931, 屏東縣佳冬鄉六根村佳和路87-1號, 08-8662018
276, 屏東縣來義鄉衛生所, 922, 屏東縣來義鄉古樓村中正路90號, 08-7850103
277, 屏東縣枋山鄉衛生所, 941, 屏東縣枋山鄉枋山村枋山路98號, 08-8761150
278, 屏東縣枋寮鄉衛生所, 940, 屏東縣枋寮鄉枋寮村德興路77號, 08-8782940
279, 屏東縣東港鎮衛生所, 928, 屏東縣東港鎮朝安里新生三路23號, 08-8325310
280, 屏東縣林邊鄉衛生所, 927, 屏東縣林邊鄉光林村和平路45號, 08-8752076
281, 屏東縣長治鄉衛生所, 908, 屏東縣長治鄉進興村潭頭路3號, 08-7368734
282, 屏東縣南州鄉衛生所, 926, 屏東縣南州鄉溪南村人和路239號, 08-8642224
283, 屏東縣屏東市衛生所, 900, 屏東縣屏東市建國路92號, 08-7538701
284, 屏東縣恆春鎮衛生所, 946, 屏東縣恆春鎮城南里文化路78號, 08-8892140
285, 屏東縣春日鄉衛生所, 942, 屏東縣春日鄉春日村春日路176號, 08-8782297
286, 屏東縣崁頂鄉衛生所, 924, 屏東縣崁頂鄉崁頂村興農路29-9號, 08-8631454
287, 屏東縣泰武鄉衛生所, 921, 屏東縣泰武鄉佳平村179號, 08-7832059
288, 屏東縣琉球鄉衛生所, 929, 屏東縣琉球鄉本福村中山路51號, 08-8612513
289, 屏東縣高樹鄉衛生所, 906, 屏東縣高樹鄉長榮村南昌路12-2號, 08-7962026
290, 屏東縣新埤鄉衛生所, 925, 屏東縣新埤鄉新埤村中正路38號, 08-7971090
